Product Type,Status,Recalling Firm,City,State/Province,Postal Code,Country,Recall Number,Classification,Product Description,Reason for Recall
Biologics,Terminated,"LifeSouth Community Blood Centers, Inc.",Gainesville,FL,"	32601-4111",United States,B-0046-2021,Class II,"Apheresis Platelets, Leukocytes Reduced","Leukoreduced, Apheresis Platelets, in which platelet yield did not meet specifications, were distributed."
Biologics,Terminated,"LifeSouth Community Blood Centers, Inc.",Gainesville,FL,"	32601-4111",United States,B-0047-2021,Class II,"Apheresis Platelets, Leukocytes Reduced","Leukoreduced, Apheresis Platelets, in which the pH quality control testing did not meet acceptability criteria, were distributed."
Biologics,Terminated,"LifeSouth Community Blood Centers, Inc.",Jacksonville,FL,"	32256-8031",United States,B-0049-2021,Class II,"Apheresis Platelets, Leukocytes Reduced, Irradiated","Leukoreduced, Apheresis Platelets, Irradiated, in which the platelet yield did not meet specifications, were distributed."
Biologics,Terminated,"LifeSouth Community Blood Centers, Inc. - Mobile Region",Mobile,AL,"	36695-3912",United States,B-0050-2021,Class II,"Apheresis Platelets, Leukocytes Reduced","Leukoreduced, Apheresis Platelets, in which the platelet yield did not meet specifications, were distributed."
Biologics,Terminated,"LifeSouth Community Blood Centers, Inc.",Gainesville,FL,"	32601-4111",United States,B-0051-2021,Class II,"Apheresis Platelets, Leukocytes Reduced","Leukoreduced, Apheresis Platelets, in which the platelet yield did not meet specifications, were distributed."
Biologics,Terminated,"LifeSouth Community Blood Centers, Inc.",Jacksonville,FL,"	32256-8031",United States,B-0052-2021,Class II,"Apheresis Platelets, Leukocytes Reduced, Irradiated","Leukoreduced, Apheresis Platelets, Irradiated, in which the platelet yield did not meet specifications, were distributed."
Biologics,Terminated,Mississippi Blood Services Inc.,Flowood,MS,"	39232-7661",United States,B-0055-2021,Class II,"Apheresis Red Blood Cells, Leukocytes Reduced","Blood product, not meeting product specifications, was distributed."
Biologics,Terminated,Texoma Regional Blood Center,Sherman,TX,"	75090-1925",United States,B-0044-2021,Class III,"Red Blood Cells, Leukocytes Reduced","Blood products, which were not quarantined from a donor who reported having had a shingles vaccination, were distributed."
Biologics,Terminated,Texoma Regional Blood Center,Sherman,TX,"	75090-1925",United States,B-0045-2021,Class III,Fresh Frozen Plasma,"Blood products, which were not quarantined after the donor reported having had a shingles vaccination prior to donation, were distributed."
Biologics,Terminated,"LifeSouth Community Blood Centers, Inc.",Gainesville,FL,"	32607-2342",United States,B-0048-2021,Class III,"Red Blood Cells, Leukocytes Reduced",Misbranded Leukoreduced Red Blood Cells were distributed.
Biologics,Terminated,"OneBlood, Inc.",St Petersburg,FL,"	33716-3806",United States,B-0053-2021,Class III,"Apheresis Red Blood Cells, Leukocytes Reduced","Leukoreduced Apheresis Red Blood Cells, in which the percent recovery was not documented, were distributed."
Biologics,Terminated,Versiti Indiana Inc,Indianapolis,IN,"	46208-4437",United States,B-0054-2021,Class III,"Apheresis Red Blood Cells, Leukocytes Reduced","Red Blood Cells, not meeting product specifications, were distributed."
