Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info
Drugs,No,,86717,Ongoing,Lohxa LLC,600 Main St Ste 110,,Worcester,MA,"	01608-2061",United States,Voluntary: Firm initiated,Letter,Product was distributed to medical facilities in FL and NY.,D-0111-2021,Class I,"Chlorhexidine Gluconate Oral Rinse USP, 0.12%, Alcohol Free, packaged in 15 mL unit does cups (barcode 7016602715), packaged in 50-count unit dose cups per carton, Rx only, Distributed by: Lohxa, Worcester, MA 01608, NDC 70166-027-15",329 cartons,Microbial contamination of non-sterile products: Repackaged product was recalled by manufacturer because it was contaminated with the bacteria Burkholderia lata.,10/28/20,11/30/20,,12/9/20,"Lot #: T09101A, Exp 01/2021; T08292A, T10011A, Exp 02/2021; T10223A, M10193A, Exp 03/2021",
Food,No,,86720,Terminated,Tanimura & Antle,1 Harris Rd,,Salinas,CA,"	93908-8608",United States,Voluntary: Firm initiated,Press Release,"AK, OR, CA, TX, WI, AR, OK, IN, NE, MO, TN, WI, NM, SC, WA, NC, OH, PR, IL, MI",F-0145-2021,Class I,"Tanimura & Antle brand Romaine lettuce.  1 head  12,15,018 and 24 case  Product of USA    UPC: 2-27918 20314-9    Tanimura & Antle, Salinas, CA",3396 cases,Michigan Department of Agriculture and Rural Development found E.coli O157:H7 in romaine lettuce during routine sampling.,11/6/20,12/2/20,12/9/20,12/9/20,Pack date of 10/15/2020 or 10/16/2020        Product Traceability Initiative (PTI) 571280289SRS1 (10/15) and 571280290SRS1 (10/16).,
Food,No,,86726,Ongoing,Quantum Inc,488 E 11th Ave Ste 220a,,Eugene,OR,"	97401-3610",United States,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in IN, NJ, and NY.",F-0146-2021,Class I,"Quantum Health branded Elderberry liquid herbal extract dietary supplement is packaged in 2oz glass bottle, 12 bottles/case.  Product is shelf stable with net wt. 2 fl oz/59 mL. UPC code: 0 46985 01625 4    Product is distributed by Quantum, Inc., Eugene, OR.     ",5 units,Product recalled due to potential contamination of Salmonella.,11/6/20,12/2/20,,12/9/20,"Manufacturing code: ""5831 09/23""    Lot code is 5831 which is determined by order of production. It is not related to a date.  Expiry is September 2023",
Drugs,Yes,12/7/20,86767,Ongoing,MPM Medical LLC,1801 Big Town Blvd Ste 300,,Mesquite,TX,"	75149-1030",United States,Voluntary: Firm initiated,Letter,Distributed Nationwide in the USA,D-0118-2021,Class I,"REGENECARE HA (Lidocaine HCL 2%) Topical Anesthetic Hydrogel, Net Wt. 3 oz. (85 g),  Manufactured For: MPM Medical Mesquite, TX 75149. NDC 66977-107-03","7,637 tubes",Microbial Contamination of Non-Sterile Drug Product. The product was found to be contaminated with the bacteria Burkholderia cepecia.,11/17/20,12/7/20,,12/9/20,Lot: 41262 Exp. 01/21,
Food,No,,86818,Ongoing,Dole Fresh Vegetables Inc,2959 Salinas Hwy,,Monterey,CA,"	93940-6400",United States,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. distribution to the following: AZ, HI, IA, IL, IN, KS,  MI, MN, MO, MS, MT, NC, ND, and VA    No foreign distribution.",F-0144-2021,Class I,"Dole"" Organic Romaine Hearts 3pk Organic Biologique)  (UPC 0-71430-90061-1),   Wild Harvest Organic Romaine Hearts, Net Wt 12 oz.  (UPC 7-11535-50201-2),","2,203 cases",Pathogenic non-O157 E.coli STEC found during routine sampling by Michigan Department of Agriculture and Rural Development.,11/21/20,12/2/20,,12/9/20,"Harvest dates of 10-23-20 and 10-26-20    UPC: 071430900611, LOT:  20OFIHOM17C300  UPC: 071430900611, LOTS: 20OFIHOM17C297 and 20OFIHOM17C300  UPC: 711535502012, LOTS: 20OFIHOM17C297 and 20OFIHOM17C300",
Devices,No,,85711,Ongoing,Medtronic Inc.,18000 Devonshire St,,Northridge,CA,"	91325-1219",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - U.S. Nationwide Distribution in the state of MD and the countries of Canada, Netherlands, Norway. ***Model 630G distributed in Canada and Model 670G distributed in US ***MODEL640G Distributed OUS ONLY***  OUS: Australia, Canada, Netherlands and Norway.",Z-0516-2021,Class II,"MiniMed 670G, insulin pump, Ref/Model # MMT-1760KPK, MMT-1762KCN, MMT-1762WWK - Product Usage: indicated for continuous or periodic monitoring of glucose levels in the fluid under the skin, and detecting possible low and high glucose episodes. When using a sensor and transmitter, the pump displays continuous sensor glucose values and stores this data so that it can be analyzed to track patterns and improve diabetes management. This data can be uploaded to a computer for analysis of historical glucose values.",391,"Missing solder battery connection, which could interrupt power of insulin pump.",4/30/20,12/2/20,,12/9/20,All serial numbers expiration date- 3 years from date of manufacture.   NG2093124H NG2093129H NG2093154H NG2093164H NG2093187H NG2093188H NG2093193H NG2093219H NG2093228H NG2093235H NG2093253H NG2093254H NG2093257H NG2093258H NG2093265H NG2093269H NG2093288H NG2093303H NG2093307H NG2093345H NG2093349H NG2093362H NG2093377H NG2093397H NG2093423H NG2093425H NG2093426H NG2093463H NG2093466H NG2093476H NG2093478H NG2093521H NG2093558H NG2093564H NG2093577H NG2093608H NG2093624H NG2093670H NG2093673H NG2093675H NG2093693H NG2093697H NG2093707H NG2093708H NG2093711H NG2093712H NG2093734H NG2093743H NG2093764H NG2093777H NG2093825H NG2093835H NG2093844H NG2093860H NG2093869H NG2093871H NG2093889H NG2093891H NG2093894H NG2093922H NG2093932H NG2093969H NG2093973H NG2093981H NG2094026H NG2094030H NG2094035H NG2094043H NG2094044H NG2094048H NG2094053H NG2094075H NG2094082H NG2094231H NG2094234H NG2094235H NG2094237H NG2094239H NG2094241H NG2094242H NG2094245H NG2094248H NG2094249H NG2094250H NG2094254H NG2094256H NG2094258H NG2094259H NG2094262H NG2094263H NG2094266H NG2094272H NG2094274H NG2094276H NG2094281H NG2094282H NG2094286H NG2094288H NG2094289H NG2094290H NG2094292H NG2094294H NG2094295H NG2094297H NG2094302H NG2094303H NG2094304H NG2094306H NG2094307H NG2094313H NG2094315H NG2094322H NG2094326H NG2094329H NG2094330H NG2094338H NG2094341H NG2094342H NG2094344H NG2094347H NG2094349H NG2094351H NG2094352H NG2094355H NG2094358H NG2094360H NG2094362H NG2094363H NG2094364H NG2094366H NG2094368H NG2094376H NG2094380H NG2094382H NG2094389H NG2094390H NG2094393H NG2094398H NG2094401H NG2094402H NG2094403H NG2094406H NG2094408H NG2094419H NG2094424H NG2094428H NG2094430H NG2094433H NG2094434H NG2094444H NG2094447H NG2094450H NG2094454H NG2094458H NG2094460H NG2094461H NG2094464H NG2094466H NG2094470H NG2094471H NG2094477H NG2094479H NG2094485H NG2094489H NG2094490H NG2094493H NG2094496H NG2094497H NG2094499H NG2094509H NG2094517H NG2094519H NG2094527H NG2094528H NG2094529H NG2094533H NG2094534H NG2094536H NG2094537H NG2094555H NG2094585H NG2094594H NG2111643H -U.S.,
Devices,No,,85711,Ongoing,Medtronic Inc.,18000 Devonshire St,,Northridge,CA,"	91325-1219",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - U.S. Nationwide Distribution in the state of MD and the countries of Canada, Netherlands, Norway. ***Model 630G distributed in Canada and Model 670G distributed in US ***MODEL640G Distributed OUS ONLY***  OUS: Australia, Canada, Netherlands and Norway.",Z-0517-2021,Class II,"MiniMed 630G with SmartGuard, insulin pump,  Ref/Model # MMT-1754K, MMT-1714K, MMT-1755K - Product Usage: intended for continuous delivery of basal insulin (at user selectable rates) and administration of insulin boluses (in user selectable amounts) for the management of diabetes mellitus in persons, fourteen years of age and older, requiring insulin.",206,"Missing solder battery connection, which could interrupt power of insulin pump.",4/30/20,12/2/20,,12/9/20,All serial numbers; expiration date- 3 years from date of manufacture.   NG2094617H NG2094618H NG2094623H NG2094625H NG2094627H NG2094628H NG2094629H NG2094631H NG2094632H NG2094634H NG2094635H NG2094636H NG2094637H NG2094638H NG2094639H NG2094640H NG2094641H NG2094642H NG2094644H NG2094645H NG2094646H NG2094647H NG2094648H NG2094649H NG2094650H NG2094651H NG2094652H NG2094653H NG2094654H NG2094655H NG2094656H NG2094657H NG2094658H NG2094659H NG2094660H NG2094661H NG2094662H NG2094663H NG2094664H NG2094668H NG2094669H NG2094670H NG2094695H NG2094696H NG2094697H NG2094698H NG2094699H NG2094700H NG2094702H NG2094704H NG2094705H NG2094707H NG2094711H NG2094712H NG2094714H NG2094718H NG2094719H NG2094724H NG2094726H NG2094728H NG2094730H NG2094732H NG2094733H NG2094735H NG2094737H NG2094739H NG2094740H NG2094743H NG2094767H NG2094769H NG2094771H NG2094772H NG2094773H NG2094774H NG2094775H NG2094776H NG2094777H NG2094779H NG2094781H NG2094783H NG2094789H NG2094795H NG2094799H NG2094800H NG2094801H NG2094803H NG2094805H NG2094806H NG2094807H NG2094809H NG2094820H NG2094822H NG2094824H NG2094825H NG2094826H NG2094827H NG2094828H NG2094829H NG2094830H NG2094832H NG2094834H NG2094836H NG2094846H NG2094847H NG2094849H NG2094851H NG2094853H NG2094855H NG2094856H NG2094858H NG2094860H NG2094862H NG2094863H NG2094864H NG2094865H NG2094866H NG2094875H NG2094877H NG2094879H NG2094881H NG2094883H NG2094884H NG2094886H NG2094890H NG2094892H NG2094903H NG2094905H NG2094906H NG2094908H NG2094910H NG2094912H NG2094914H NG2094916H NG2094919H NG2094921H NG2094923H NG2094925H NG2094926H NG2094929H NG2094930H NG2094931H NG2094932H NG2094933H NG2094934H NG2094936H NG2094937H NG2094939H NG2094941H NG2094945H NG2094947H NG2094950H NG2094964H NG2094966H NG2094968H NG2094972H NG2094975H NG2095028H NG2095034H NG2095036H NG2095038H NG2095039H NG2095046H NG2095048H NG2095050H NG2095052H NG2095054H NG2095056H NG2095058H NG2095060H NG2095065H NG2095067H NG2095069H NG2095071H NG2095073H NG2095075H NG2095079H NG2095083H NG2095085H NG2095087H NG2095091H NG2095096H NG2095097H NG2095099H NG2095103H NG2095105H NG2095107H NG2095114H NG2095121H NG2095122H NG2095124H NG2095127H NG2095128H NG2095129H NG2095130H NG2095131H NG2095132H NG2095133H NG2095134H NG2095135H NG2095136H NG2095138H NG2095139H NG2095141H NG2095143H NG2095144H NG2095148H,
Devices,No,,85711,Ongoing,Medtronic Inc.,18000 Devonshire St,,Northridge,CA,"	91325-1219",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - U.S. Nationwide Distribution in the state of MD and the countries of Canada, Netherlands, Norway. ***Model 630G distributed in Canada and Model 670G distributed in US ***MODEL640G Distributed OUS ONLY***  OUS: Australia, Canada, Netherlands and Norway.",Z-0518-2021,Class II,"MiniMed 640G, insulin pump, Ref/Model # MMT-1711K, MMT-1752K, MMT-1752, Rx Only - Product Usage: indicated for the continuous delivery of insulin, at set and variable rates, for the management of diabetes mellitus in persons requiring insulin.",2,"Missing solder battery connection, which could interrupt power of insulin pump.",4/30/20,12/2/20,,12/9/20,"All serial numbers expiration date- 3 years from date of manufacture: NG2095284H, NG2095319H",
Devices,No,,86047,Ongoing,"CME America, LLC",14998 W 6th Ave Ste 830,,Golden,CO,"	80401-5025",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - U.S. Nationwide distribution including in the states of AZ, AK, CA, CO, CT, FL, ID, IL, KS, LA, MA, MI, MO, MT, NC, NE, NV, Oh, OK, OR, PA, TN, TX, WA, and WI. The country of Canada.",Z-0525-2021,Class II,"CME America T-Syringe Pump -T34L - Product Usage: infusion of medications or fluids requiring continuous or intermittent delivery at precisely-controlled infusion rates through clinically acceptable routes of administration, including intravenous, subcutaneous, percutaneous, intra-arterial, epidural, in close proximity to nerves, and into an intra-operative site (soft tissue/body cavity/surgical wound site).","Total Pumps = 4,182 (all models)","Multiple reasons:  1) Due to wear and tear of pump motor block mechanism - may cause under infusion situations without the pump alarm being generated.  2) Due to cracks, pump hardware may be damaged by fluid used during the cleaning process.",7/30/20,12/3/20,,12/9/20,Model TR34L - Part Number(s)  100-100PSLA; 100-101PSLA  Serial Number:  58766  58765  26479  69547  69548  26428  26299  26301  26295  26294  26304  26296  26298  26302  26297  26300  26130  26133  26132  58906  58907  58909  58910  58911  58912  58913  58914  58915  58916  58917  58918  58919  58920  58921  58922  58923  58924  58925  58926  58998  59003  59007  58999  59006  59000  59004  59002  59005  59001  69618  69619  69628  69629  69630  69637  69659  69666  69638  69579  70119  70134  70136  70142  70144  70145  70146  70147  70148  70162  70167  70169  70172  70173  70174  70175  70143  S25610  S25720  S25725  S25729  S69776  S69785  S70157  S70160  S70165  S70176  S70192  S70203  S70206  S70207  S70208  S70209  S70210  S70211  S70129  S70177  S70181  S70205  S70114  S70115  S70117  S70118  S70120  S70121  S70124  S70125  S70126  S70127  S70128  S70130  S70131  S70132  S70138  S70139  S70140  S70163  S70164  S70166  S70182  S70183  S70185  S70187  S70188  S70190  S70191  S70194  S70195  S70196  A12200  A12201  S69760  A100795  A100796  A100797  A100798  A100799  A100800  A100801  A100802  A100803      UDI Code:  B101100100PSLA0  100-101 PSLA was retired prior to UDI,
Devices,No,,86047,Ongoing,"CME America, LLC",14998 W 6th Ave Ste 830,,Golden,CO,"	80401-5025",United States,Voluntary: Firm initiated,Letter,"Worldwide distribution - U.S. Nationwide distribution including in the states of AZ, AK, CA, CO, CT, FL, ID, IL, KS, LA, MA, MI, MO, MT, NC, NE, NV, Oh, OK, OR, PA, TN, TX, WA, and WI. The country of Canada.",Z-0526-2021,Class II,"CME America T-Syringe Pump - NeoThrive - Product Usage: infusion of medications or fluids requiring continuous or intermittent delivery at precisely-controlled infusion rates through clinically acceptable routes of administration, including intravenous, subcutaneous, percutaneous, intra-arterial, epidural, in close proximity to nerves, and into an intra-operative site (soft tissue/body cavity/surgical wound site).","Total pumps = 4,182 (all models)","Multiple reasons:  1) Due to wear and tear of pump motor block mechanism - may cause under infusion situations without the pump alarm being generated.  2) Due to cracks, pump hardware may be damaged by fluid used during the cleaning process.",7/30/20,12/3/20,,12/9/20,Model NeoThrive - Part Number(s)  100-101PSL    UDI Code:  Retired prior to UDI,
